time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-01T01:56:25.750Z,32.9608333,-115.5483333,5.3,1.4,ml,15,85,0.06011,0.25,ci,ci37776104,2017-01-01T02:00:09.246Z,"3km SW of Brawley, CA",earthquake,0.47,1.06,0.176,28,automatic,ci,ci
2017-01-01T01:58:14.250Z,32.9655,-115.5501667,4.48,1.55,ml,21,85,0.06447,0.23,ci,ci37776112,2017-01-01T02:08:33.090Z,"2km SW of Brawley, CA",earthquake,0.4,1.14,0.195,28,automatic,ci,ci
2017-01-01T01:59:12.900Z,32.9675,-115.5565,3.19,1.46,ml,18,89,0.06594,0.27,ci,ci37776120,2017-01-01T02:03:03.727Z,"3km WSW of Brawley, CA",earthquake,0.5,0.85,0.209,29,automatic,ci,ci
2017-01-01T02:01:40.300Z,32.9656667,-115.5451667,11.47,2.53,ml,51,75,0.06534,0.28,ci,ci37776128,2017-01-03T20:10:44.560Z,"2km SW of Brawley, CA",earthquake,0.26,0.46,0.21,27,reviewed,ci,ci
2017-01-01T02:03:15.410Z,32.964,-115.5591667,5.21,1.55,ml,14,87,0.06237,0.27,ci,ci37776136,2017-01-01T02:06:58.403Z,"3km WSW of Brawley, CA",earthquake,0.6,1.41,0.2,18,automatic,ci,ci
2017-01-01T02:07:37.430Z,32.9635,-115.5476667,6.79,2.08,ml,16,75,0.06282,0.24,ci,ci37776152,2017-01-03T19:22:29.453Z,"2km SW of Brawley, CA",earthquake,0.54,1.38,0.047,3,reviewed,ci,ci
2017-01-01T02:07:41.780Z,32.9731667,-115.5536667,9.35,2.94,ml,67,39,0.06912,0.26,ci,ci37776160,2017-01-03T18:17:44.270Z,"2km WSW of Brawley, CA",earthquake,0.18,0.46,0.144,152,reviewed,ci,ci
2017-01-01T02:09:28.330Z,32.9708333,-115.5518333,5.87,1.93,ml,24,86,0.06957,0.27,ci,ci37776176,2017-01-01T02:13:19.970Z,"2km WSW of Brawley, CA",earthquake,0.44,1.09,0.151,27,automatic,ci,ci
2017-01-01T02:09:43.980Z,46.2005,-122.1781667,2.52,0.22,md,6,228,0.008641,0.1,uw,uw61226647,2017-01-03T18:14:32.060Z,"38km NNE of Amboy, Washington",earthquake,0.54,0.46,0.316,2,reviewed,uw,uw
2017-01-01T02:10:56.810Z,32.9683333,-115.5345,1.14,1.88,ml,28,87,0.07023,0.33,ci,ci37776184,2017-01-01T02:14:53.462Z,"1km SSW of Brawley, CA",earthquake,0.47,31.61,0.238,28,automatic,ci,ci
2017-01-01T02:11:07.610Z,32.9746667,-115.5336667,2.94,2.13,ml,15,81,0.07527,0.19,ci,ci37776192,2017-01-04T00:53:49.742Z,"0km SW of Brawley, CA",earthquake,0.31,0.39,0.171,37,reviewed,ci,ci
2017-01-01T02:12:09.000Z,32.9631667,-115.536,2.58,1.51,ml,11,111,0.06494,0.23,ci,ci37776200,2017-01-01T02:15:50.824Z,"2km SSW of Brawley, CA",earthquake,0.56,0.69,0.174,12,automatic,ci,ci
2017-01-01T02:12:44.880Z,46.2011667,-122.1818333,2.59,0.72,ml,8,224,0.006164,0.1,uw,uw61226652,2017-01-03T18:16:40.770Z,"38km NNE of Amboy, Washington",earthquake,0.58,0.56,0.228,6,reviewed,uw,uw
2017-01-01T02:14:34.780Z,32.9616667,-115.557,2.12,1.37,ml,16,107,0.06011,0.28,ci,ci37776208,2017-01-01T02:18:18.630Z,"3km SW of Brawley, CA",earthquake,0.5,0.79,0.209,27,automatic,ci,ci
2017-01-01T02:18:00.440Z,32.9755,-115.5328333,3.23,1.32,ml,11,114,0.07495,0.24,ci,ci37776216,2017-01-01T02:21:45.180Z,"0km SSW of Brawley, CA",earthquake,0.6,0.66,0.186,13,automatic,ci,ci
2017-01-01T02:18:14.800Z,32.9766667,-115.5548333,5.18,2.07,ml,29,93,0.0655,0.22,ci,ci37776224,2017-01-01T02:29:24.110Z,"2km W of Brawley, CA",earthquake,0.37,0.91,0.185,26,automatic,ci,ci
