time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1960-02-26T12:58:42.760Z,35.3305,-118.6135,6,3.32,ml,10,152,0.3505,0.63,ci,ci3351201,2016-01-28T20:00:40.930Z,"24km NE of Arvin, CA",earthquake,2.13,31.61,0.045,11,reviewed,ci,ci
1960-02-26T23:29:31.000Z,51.146,-177.853,35,6,mw,,,,,iscgem,iscgem878397,2015-05-13T18:52:54.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1960-02-27T08:10:11.000Z,51.278,-177.89,46.9,5.8,mw,,,,,iscgem,iscgem878399,2015-05-13T18:52:54.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1960-02-27T08:40:30.780Z,33.9643333,-117.8123333,2.99,2.56,ml,6,160,0.3295,0.08,ci,ci3351202,2016-01-28T19:56:21.080Z,"6km WSW of Chino Hills, CA",earthquake,0.75,1.4,0.135,5,reviewed,ci,ci
1960-02-28T02:55:34.220Z,34.337,-119.8323333,8,3.09,ml,7,289,0.1419,0.43,ci,ci3351203,2016-01-28T19:38:57.080Z,"9km SSE of Isla Vista, CA",earthquake,3.07,1.7,0.023,3,reviewed,ci,ci
1960-02-29T23:40:18.000Z,30.351,-9.69,15,5.8,mw,,,,,iscgem,iscgem878424,2016-02-16T23:37:18.978Z,"Morocco",earthquake,,,,,automatic,iscgem,iscgem
1960-03-01T12:39:57.070Z,33.6765,-118.0523333,11.05,2.95,ml,9,156,0.2768,0.31,ci,ci3351204,2016-01-28T19:30:37.870Z,"5km WSW of Huntington Beach, CA",earthquake,1.04,1.33,0.242,8,reviewed,ci,ci
1960-03-02T02:46:43.200Z,32.2476667,-115.7981667,6,3.67,ml,3,296,0.8554,0.12,ci,ci3351205,2016-01-28T19:38:57.610Z,"42km SSW of Progreso, B.C., MX",earthquake,2.24,31.61,0.115,7,reviewed,ci,ci
1960-03-04T02:20:13.590Z,33.6638333,-118.048,9.15,2.66,ml,7,160,0.2839,0.34,ci,ci3351206,2016-01-28T19:47:38.750Z,"6km SW of Huntington Beach, CA",earthquake,1.13,2.23,0.213,4,reviewed,ci,ci
1960-03-04T21:05:52.000Z,7.384,94.235,25,5.8,mw,,,,,iscgem,iscgem878452,2015-05-13T18:52:54.000Z,"Nicobar Islands, India region",earthquake,,,,,automatic,iscgem,iscgem
